,id,name,party,constituency,start_date
0,172,Rt Hon Diane Abbott MP,Independent,Hackney North and Stoke Newington,1987-06-11
1,4212,Debbie Abrahams MP,Labour,Oldham East and Saddleworth,2011-01-13
2,4639,Bim Afolami MP,Conservative,Hitchin and Harpenden,2017-06-08
3,1586,Adam Afriyie MP,Conservative,Windsor,2005-05-05
4,4741,Nickie Aiken MP,Conservative,Cities of London and Westminster,2019-12-12
5,4069,Peter Aldous MP,Conservative,Waveney,2010-05-06
6,4138,Rushanara Ali MP,Labour,Bethnal Green and Bow,2010-05-06
7,4747,Tahir Ali MP,Labour,"Birmingham, Hall Green",2019-12-12
8,4411,Lucy Allan MP,Conservative,Telford,2015-05-07
9,4573,Dr Rosena Allin-Khan MP,Labour,Tooting,2016-06-16
10,4667,Mike Amesbury MP,Labour,Weaver Vale,2017-06-08
11,4788,Fleur Anderson MP,Labour,Putney,2019-12-12
12,4743,Lee Anderson MP,Conservative,Ashfield,2019-12-12
13,4742,Stuart Anderson MP,Conservative,Wolverhampton South West,2019-12-12
14,4032,Rt Hon Stuart Andrew MP,Conservative,Pudsey,2010-05-06
15,4512,Caroline Ansell MP,Conservative,Eastbourne,2019-12-12
16,4623,Tonia Antoniazzi MP,Labour,Gower,2017-06-08
17,4362,Rt Hon Edward Argar MP,Conservative,Charnwood,2015-05-07
18,4244,Rt Hon Jonathan Ashworth MP,Labour (Co-op),Leicester South,2011-05-05
19,4855,Sarah Atherton MP,Conservative,Wrexham,2019-12-12
20,4399,Victoria Atkins MP,Conservative,Louth and Horncastle,2015-05-07
21,4798,Gareth Bacon MP,Conservative,Orpington,2019-12-12
22,1451,Mr Richard Bacon MP,Conservative,South Norfolk,2001-06-07
23,4597,Rt Hon Kemi Badenoch MP,Conservative,Saffron Walden,2017-06-08
24,4757,Shaun Bailey MP,Conservative,West Bromwich West,2019-12-12
25,4847,Siobhan Baillie MP,Conservative,Stroud,2019-12-12
26,4784,Duncan Baker MP,Conservative,North Norfolk,2019-12-12
27,4064,Rt Hon Steve Baker MP,Conservative,Wycombe,2010-05-06
28,4107,Harriett Baldwin MP,Conservative,West Worcestershire,2010-05-06
29,4095,Rt Hon Steve Barclay MP,Conservative,North East Cambridgeshire,2010-05-06
30,4486,Hannah Bardell MP,Scottish National Party,Livingston,2015-05-07
31,4828,Paula Barker MP,Labour,"Liverpool, Wavertree",2019-12-12
32,1390,Mr John Baron MP,Conservative,Basildon and Billericay,2001-06-07
33,4800,Simon Baynes MP,Conservative,Clwyd South,2019-12-12
34,328,Rt Hon Margaret Beckett MP,Labour,Derby South,1983-06-09
35,4697,Órfhlaith Begley MP,Sinn Féin,West Tyrone,2018-05-03
36,4790,Apsana Begum MP,Labour,Poplar and Limehouse,2019-12-12
37,4837,Aaron Bell MP,Conservative,Newcastle-under-Lyme,2019-12-12
38,413,Rt Hon Hilary Benn MP,Labour,Leeds Central,1999-06-10
39,4793,Scott Benton MP,Independent,Blackpool South,2019-12-12
40,103,Sir Paul Beresford MP,Conservative,Mole Valley,1992-04-09
41,4060,Sir Jake Berry MP,Conservative,Rossendale and Darwen,2010-05-06
42,394,Mr Clive Betts MP,Labour,Sheffield South East,1992-04-09
43,4818,Saqib Bhatti MP,Conservative,Meriden,2019-12-12
44,4421,Mhairi Black MP,Scottish National Party,Paisley and Renfrewshire South,2015-05-07
45,4390,Rt Hon Ian Blackford MP,Scottish National Party,"Ross, Skye and Lochaber",2015-05-07
46,4005,Bob Blackman MP,Conservative,Harrow East,2010-05-06
47,4357,Kirsty Blackman MP,Scottish National Party,Aberdeen North,2015-05-07
48,4864,Olivia Blake MP,Labour,"Sheffield, Hallam",2019-12-12
49,4058,Paul Blomfield MP,Labour,Sheffield Central,2010-05-06
50,104,Crispin Blunt MP,Independent,Reigate,1997-05-01
51,1581,Mr Peter Bone MP,Independent,Wellingborough,2005-05-05
52,4748,Steven Bonnar MP,Scottish National Party,"Coatbridge, Chryston and Bellshill",2019-12-12
53,117,Sir Peter Bottomley MP,Conservative,Worthing West,1975-06-26
54,4601,Andrew Bowie MP,Conservative,West Aberdeenshire and Kincardine,2017-06-08
55,4663,Ben Bradley MP,Conservative,Mansfield,2017-06-08
56,4110,Rt Hon Karen Bradley MP,Conservative,Staffordshire Moorlands,2010-05-06
57,230,Rt Hon Ben Bradshaw MP,Labour,Exeter,1997-05-01
58,435,Rt Hon Sir Graham Brady MP,Conservative,Altrincham and Sale West,1997-05-01
59,4373,Mickey Brady MP,Sinn Féin,Newry and Armagh,2015-05-07
60,4475,Rt Hon Suella Braverman KC MP,Conservative,Fareham,2015-05-07
61,1400,Kevin Brennan MP,Labour,Cardiff West,2001-06-07
62,4643,Jack Brereton MP,Conservative,Stoke-on-Trent South,2017-06-08
63,4133,Andrew Bridgen MP,The Reclaim Party,North West Leicestershire,2010-05-06
64,4067,Steve Brine MP,Conservative,Winchester,2010-05-06
65,4792,Paul Bristow MP,Conservative,Peterborough,2019-12-12
66,4838,Sara Britcliffe MP,Conservative,Hyndburn,2019-12-12
67,4417,Deidre Brock MP,Scottish National Party,Edinburgh North and Leith,2015-05-07
68,4470,Alan Brown MP,Scottish National Party,Kilmarnock and Loudoun,2015-05-07
69,1583,Ms Lyn Brown MP,Labour,West Ham,2005-05-05
70,523,Rt Hon Nicholas Brown MP,Independent,Newcastle upon Tyne East,1983-06-09
71,4801,Anthony Browne MP,Conservative,South Cambridgeshire,2019-12-12
72,3958,Fiona Bruce MP,Conservative,Congleton,2010-05-06
73,1446,Sir Chris Bryant MP,Labour,Rhondda,2001-06-07
74,4821,Felicity Buchan MP,Conservative,Kensington,2019-12-12
75,199,Ms Karen Buck MP,Labour,Westminster North,1997-05-01
76,4106,Rt Hon Sir Robert Buckland KC MP,Conservative,South Swindon,2010-05-06
77,4613,Alex Burghart MP,Conservative,Brentwood and Ongar,2017-06-08
78,4493,Richard Burgon MP,Labour,Leeds East,2015-05-07
79,3922,Rt Hon Sir Conor Burns MP,Conservative,Bournemouth West,2010-05-06
80,1489,Dawn Butler MP,Labour,Brent Central,2015-05-07
81,4745,Rob Butler MP,Conservative,Aylesbury,2019-12-12
82,4831,Ian Byrne MP,Labour,"Liverpool, West Derby",2019-12-12
83,1171,Rt Hon Liam Byrne MP,Labour,"Birmingham, Hodge Hill",2004-07-15
84,4389,Ruth Cadbury MP,Labour,Brentford and Isleworth,2015-05-07
85,4086,Rt Hon Alun Cairns MP,Conservative,Vale of Glamorgan,2010-05-06
86,4770,Amy Callaghan MP,Scottish National Party,East Dunbartonshire,2019-12-12
87,4412,Dr Lisa Cameron MP,Conservative,"East Kilbride, Strathaven and Lesmahagow",2015-05-07
88,529,Rt Hon Sir Alan Campbell MP,Labour,Tynemouth,1997-05-01
89,1409,Mr Gregory Campbell MP,Democratic Unionist Party,East Londonderry,2001-06-07
90,4651,Dan Carden MP,Labour,"Liverpool, Walton",2017-06-08
91,1442,Rt Hon Alistair Carmichael MP,Liberal Democrat,Orkney and Shetland,2001-06-07
92,4791,Andy Carter MP,Conservative,Warrington South,2019-12-12
93,4519,James Cartlidge MP,Conservative,South Suffolk,2015-05-07
94,288,Sir William Cash MP,Conservative,Stone,1984-05-03
95,4865,Miriam Cates MP,Conservative,Penistone and Stocksbridge,2019-12-12
96,4492,Maria Caulfield MP,Conservative,Lewes,2015-05-07
97,4481,Alex Chalk KC MP,Conservative,Cheltenham,2015-05-07
98,4765,Wendy Chamberlain MP,Liberal Democrat,North East Fife,2019-12-12
99,4267,Sarah Champion MP,Labour,Rotherham,2012-11-29
100,4402,Douglas Chapman MP,Scottish National Party,Dunfermline and West Fife,2015-05-07
101,4610,Bambos Charalambous MP,Independent,"Enfield, Southgate",2017-06-08
102,4419,Joanna Cherry KC MP,Scottish National Party,Edinburgh South West,2015-05-07
103,3987,Rehman Chishti MP,Conservative,Gillingham and Rainham,2010-05-06
104,242,Sir Christopher Chope MP,Conservative,Christchurch,1997-05-01
105,4380,Jo Churchill MP,Conservative,Bury St Edmunds,2015-05-07
106,4822,Feryal Clark MP,Labour,Enfield North,2019-12-12
107,1578,Rt Hon Greg Clark MP,Conservative,Tunbridge Wells,2005-05-05
108,4655,Rt Hon Sir Simon Clarke MP,Conservative,Middlesbrough South and East Cleveland,2017-06-08
109,4819,Theo Clarke MP,Conservative,Stafford,2019-12-12
110,4756,Brendan Clarke-Smith MP,Conservative,Bassetlaw,2019-12-12
111,4835,Chris Clarkson MP,Conservative,Heywood and Middleton,2019-12-12
112,4366,Rt Hon James Cleverly MP,Conservative,Braintree,2015-05-07
113,249,Sir Geoffrey Clifton-Brown MP,Conservative,The Cotswolds,1992-04-09
114,4098,Rt Hon Dr Thérèse Coffey MP,Conservative,Suffolk Coastal,2010-05-06
115,4775,Elliot Colburn MP,Conservative,Carshalton and Wallington,2019-12-12
116,3986,Damian Collins MP,Conservative,Folkestone and Hythe,2010-05-06
117,4769,Daisy Cooper MP,Liberal Democrat,St Albans,2019-12-12
118,420,Rt Hon Yvette Cooper MP,Labour,"Normanton, Pontefract and Castleford",1997-05-01
119,185,Rt Hon Jeremy Corbyn MP,Independent,Islington North,1983-06-09
